,Role,Company,Stipend,Duration,Location
1637,Marketing,Efficienergi,"₹ 10,000 /month",5 Months,Kolkata
1638,Videography,Rentkar-Switch To Share,"₹ 10,000-12,000 /month",6 Months,
1639,Apparel Design,The Gusto,"₹ 20,000 /month",3 Months,
1640,Business Development (Sales),TopMentor,"₹ 10,000 /month",6 Months,
1641,Sales,C3 CAR CARE CENTER,"₹ 15,000 /month",6 Months,
1642,Trainee - Marketing (Live Events),BookMyShow,"₹ 11,250 /month",6 Months,
1643,Creative Illustrator,Alphanumeric Ideas Private Limited,"₹ 3,000 /month",6 Months,
1644,Copywriting,MoLog Media & Advertising,"₹ 10,000 /month",3 Months,
1645,Graphic Design,Suruchi Sable,"₹ 10,000-20,000 /month",6 Months,
1646,Inside Sales,PROVEN PATH CONSULTANCY,"₹ 5,000 /month",4 Months,
1647,Search Engine Optimization (SEO),Pune Medical Coding Training Institute,"₹ 7,000 /month",3 Months,
1648,Graphic Design,Pune Medical Coding Training Institute,"₹ 7,000 /month",3 Months,
1649,Content Creation & Digital Marketing,Bonn Tonn,"₹ 8,000-12,000 /month",3 Months,
1650,Sales (Female),BizInnovision Private Limited,"₹ 5,000 /month +  Incentives",2 Months,Delhi                                                            (Hybrid)
1651,Business Development (Field Sales),Classess.com,"₹ 8,000 /month",4 Months,Hyderabad                                                            (Hybrid)
1652,Business Development (Sales),Offbeat,"₹ 8,000 /month +  Incentives",3 Months,Mumbai                                                            (Hybrid)
1653,Campus Ambassador,Patson's Career Abroad Consultancy,Performance Based,3 Months,"Pune, Mumbai"
1654,Business Development (Sales),Designer Mulberry Spaces Private Limited,"₹ 10,000 /month",3 Months,Mira Bhayandar
1655,Video Editing/Making,Yellowpatch Entertainment,"₹ 6,000-12,000 /month",3 Months,Pune                                                            (Hybrid)
1656,Teaching,TheWorkshop,"₹ 10,000 /month",3 Months,Chandigarh
1657,Digital Marketing & Operations,Eco-one,"₹ 5,000-7,000 /month",6 Months,Mumbai                                                            (Hybrid)
1658,Coaching Institute Management,Saraswati Vidyamandir,"₹ 2,000-4,000 /month",6 Months,"Ambala, Ambala Cantt, Ambala Sadar"
1659,Social Media Marketing,Back To Roots,"₹ 5,000-8,000 /month",2 Months,Kochi
1660,Media & Public Relations (PR),Jarurat Care,Unpaid,4 Months,Noida
1661,Video Editing/Making,AIR HR Solutions,"₹ 3,000 /month",6 Months,"Coimbatore, Erode, Tiruppur, Salem"
1662,Human Resources (HR),Visible Gain,"₹ 6,000-10,000 /month",6 Months,Bangalore
1663,Artificial Intelligence Trainer,Playto Labs,"₹ 3,000-10,000 /month",1 Month,Bangalore
1664,Female Personal Assistant,Big Bulls,"₹ 8,000 /month",6 Months,Bangalore
1665,Tele Sales & Tele Marketing,Big Bulls,"₹ 8,000 /month",6 Months,Noida
1666,Human Resources (HR),Big Bulls,"₹ 8,000 /month",6 Months,Lucknow                                                            (Hybrid)
1667,Sales,Madrocket Technologies & Media,"₹ 10,000-14,000 /month",3 Months,Hyderabad                                                            (Hybrid)
1668,Product Marketing,WaySpire EdTech Private Limited,"₹ 2,000-10,000 lump sum",1 Month,Pune
1669,Online Marketing,WaySpire EdTech Private Limited,"₹ 2,500-15,000 lump sum",1 Month,Kolkata
1670,Finance,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,"North Goa, Goa Velha, Goa"
1671,Capital Market,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Delhi
1672,Trader,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Mumbai
1673,Business Development (Sales),Tripple One Solutions,"₹ 15,000-25,000 /month",3 Months,Indore
1674,Social Media Marketing,Gamoft Consultancy Services Private Limited,"₹ 10,000 /month",6 Months,Delhi                                                            (Hybrid)
1675,Digital Marketing,CYPWNG Software Technologies,"₹ 10,000 /month",6 Months,Mumbai
1676,Volunteering,She Can Foundation,20% of Total Funds Raised,4 Weeks,Mumbai
1677,Field Volunteering,InAmigos Foundation,"₹ 200-2,500 /week",6 Months,Gurgaon
1678,Community Influencing,She Can Foundation,20% of Total Funds Raised,1 Month,Pune
1679,Data Analytics - Flutter App,S Attri (Atri Consulting),"₹ 10,000 /month",6 Months,Kolkata
1680,Business Development (Sales),Talent Corner HR Services,"₹ 5,000 /month",3 Months,Mumbai
1681,Social Media Marketing,Storybizz Media Private Limited,"₹ 6,000-15,000 /month",6 Months,Mohali
1682,Corporate Sales,PROVEN PATH CONSULTANCY,"₹ 4,000 /month",3 Months,Gurgaon
1683,Photography,LIVWISE.IN,"₹ 5,000-10,000 /month",5 Months,Mumbai
1684,Mechanical Engineering,Edith Defence Systems Private Limited,"₹ 10,000-12,000 /month",6 Months,Gurgaon
1685,Field Executive – Sales Department (Banking Domain),Techdome Solutions Private Limited,"₹ 10,000-15,000 /month",3 Months,Pune
1686,Script Writing,Unimonks,"₹ 3,500-7,000 /month",3 Months,Pune
1687,Marketing,Efficienergi,"₹ 10,000 /month",5 Months,Kolkata
1688,Videography,Rentkar-Switch To Share,"₹ 10,000-12,000 /month",6 Months,
1689,Apparel Design,The Gusto,"₹ 20,000 /month",3 Months,
1690,Business Development (Sales),TopMentor,"₹ 10,000 /month",6 Months,
1691,Sales,C3 CAR CARE CENTER,"₹ 15,000 /month",6 Months,
1692,Trainee - Marketing (Live Events),BookMyShow,"₹ 11,250 /month",6 Months,
1693,Creative Illustrator,Alphanumeric Ideas Private Limited,"₹ 3,000 /month",6 Months,
1694,Copywriting,MoLog Media & Advertising,"₹ 10,000 /month",3 Months,
1695,Graphic Design,Suruchi Sable,"₹ 10,000-20,000 /month",6 Months,
1696,Inside Sales,PROVEN PATH CONSULTANCY,"₹ 5,000 /month",4 Months,
1697,Search Engine Optimization (SEO),Pune Medical Coding Training Institute,"₹ 7,000 /month",3 Months,
1698,Graphic Design,Pune Medical Coding Training Institute,"₹ 7,000 /month",3 Months,
1699,Content Creation & Digital Marketing,Bonn Tonn,"₹ 8,000-12,000 /month",3 Months,
1700,Sales (Female),BizInnovision Private Limited,"₹ 5,000 /month +  Incentives",2 Months,Delhi                                                            (Hybrid)
1701,Business Development (Field Sales),Classess.com,"₹ 8,000 /month",4 Months,Hyderabad                                                            (Hybrid)
1702,Business Development (Sales),Offbeat,"₹ 8,000 /month +  Incentives",3 Months,Mumbai                                                            (Hybrid)
1703,Campus Ambassador,Patson's Career Abroad Consultancy,Performance Based,3 Months,"Pune, Mumbai"
1704,Business Development (Sales),Designer Mulberry Spaces Private Limited,"₹ 10,000 /month",3 Months,Mira Bhayandar
1705,Video Editing/Making,Yellowpatch Entertainment,"₹ 6,000-12,000 /month",3 Months,Pune                                                            (Hybrid)
1706,Teaching,TheWorkshop,"₹ 10,000 /month",3 Months,Chandigarh
1707,Digital Marketing & Operations,Eco-one,"₹ 5,000-7,000 /month",6 Months,Mumbai                                                            (Hybrid)
1708,Coaching Institute Management,Saraswati Vidyamandir,"₹ 2,000-4,000 /month",6 Months,"Ambala, Ambala Cantt, Ambala Sadar"
1709,Social Media Marketing,Back To Roots,"₹ 5,000-8,000 /month",2 Months,Kochi
1710,Media & Public Relations (PR),Jarurat Care,Unpaid,4 Months,Noida
1711,Video Editing/Making,AIR HR Solutions,"₹ 3,000 /month",6 Months,"Coimbatore, Erode, Tiruppur, Salem"
1712,Human Resources (HR),Visible Gain,"₹ 6,000-10,000 /month",6 Months,Bangalore
1713,Artificial Intelligence Trainer,Playto Labs,"₹ 3,000-10,000 /month",1 Month,Bangalore
1714,Female Personal Assistant,Big Bulls,"₹ 8,000 /month",6 Months,Bangalore
1715,Tele Sales & Tele Marketing,Big Bulls,"₹ 8,000 /month",6 Months,Noida
1716,Human Resources (HR),Big Bulls,"₹ 8,000 /month",6 Months,Lucknow                                                            (Hybrid)
1717,Sales,Madrocket Technologies & Media,"₹ 10,000-14,000 /month",3 Months,Hyderabad                                                            (Hybrid)
1718,Product Marketing,WaySpire EdTech Private Limited,"₹ 2,000-10,000 lump sum",1 Month,Pune
1719,Online Marketing,WaySpire EdTech Private Limited,"₹ 2,500-15,000 lump sum",1 Month,Kolkata
1720,Finance,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,"North Goa, Goa Velha, Goa"
1721,Capital Market,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Delhi
1722,Trader,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Mumbai
1723,Business Development (Sales),Tripple One Solutions,"₹ 15,000-25,000 /month",3 Months,Indore
1724,Social Media Marketing,Gamoft Consultancy Services Private Limited,"₹ 10,000 /month",6 Months,Delhi                                                            (Hybrid)
1725,Digital Marketing,CYPWNG Software Technologies,"₹ 10,000 /month",6 Months,Mumbai
1726,Volunteering,She Can Foundation,20% of Total Funds Raised,4 Weeks,Mumbai
1727,Field Volunteering,InAmigos Foundation,"₹ 200-2,500 /week",6 Months,Gurgaon
1728,Community Influencing,She Can Foundation,20% of Total Funds Raised,1 Month,Pune
1729,Data Analytics - Flutter App,S Attri (Atri Consulting),"₹ 10,000 /month",6 Months,Kolkata
1730,Business Development (Sales),Talent Corner HR Services,"₹ 5,000 /month",3 Months,Mumbai
1731,Social Media Marketing,Storybizz Media Private Limited,"₹ 6,000-15,000 /month",6 Months,Mohali
1732,Corporate Sales,PROVEN PATH CONSULTANCY,"₹ 4,000 /month",3 Months,Gurgaon
1733,Photography,LIVWISE.IN,"₹ 5,000-10,000 /month",5 Months,Mumbai
1734,Mechanical Engineering,Edith Defence Systems Private Limited,"₹ 10,000-12,000 /month",6 Months,Gurgaon
1735,Field Executive – Sales Department (Banking Domain),Techdome Solutions Private Limited,"₹ 10,000-15,000 /month",3 Months,Pune
1736,Script Writing,Unimonks,"₹ 3,500-7,000 /month",3 Months,Pune
1737,Marketing,Efficienergi,"₹ 10,000 /month",5 Months,Kolkata
1738,Videography,Rentkar-Switch To Share,"₹ 10,000-12,000 /month",6 Months,
1739,Apparel Design,The Gusto,"₹ 20,000 /month",3 Months,
1740,Business Development (Sales),TopMentor,"₹ 10,000 /month",6 Months,
1741,Sales,C3 CAR CARE CENTER,"₹ 15,000 /month",6 Months,
1742,Trainee - Marketing (Live Events),BookMyShow,"₹ 11,250 /month",6 Months,
1743,Creative Illustrator,Alphanumeric Ideas Private Limited,"₹ 3,000 /month",6 Months,
1744,Copywriting,MoLog Media & Advertising,"₹ 10,000 /month",3 Months,
1745,Graphic Design,Suruchi Sable,"₹ 10,000-20,000 /month",6 Months,
1746,Inside Sales,PROVEN PATH CONSULTANCY,"₹ 5,000 /month",4 Months,
1747,Search Engine Optimization (SEO),Pune Medical Coding Training Institute,"₹ 7,000 /month",3 Months,
1748,Graphic Design,Pune Medical Coding Training Institute,"₹ 7,000 /month",3 Months,
1749,Content Creation & Digital Marketing,Bonn Tonn,"₹ 8,000-12,000 /month",3 Months,
1750,Sales (Female),BizInnovision Private Limited,"₹ 5,000 /month +  Incentives",2 Months,Delhi                                                            (Hybrid)
1751,Business Development (Field Sales),Classess.com,"₹ 8,000 /month",4 Months,Hyderabad                                                            (Hybrid)
1752,Business Development (Sales),Offbeat,"₹ 8,000 /month +  Incentives",3 Months,Mumbai                                                            (Hybrid)
1753,Campus Ambassador,Patson's Career Abroad Consultancy,Performance Based,3 Months,"Pune, Mumbai"
1754,Business Development (Sales),Designer Mulberry Spaces Private Limited,"₹ 10,000 /month",3 Months,Mira Bhayandar
1755,Video Editing/Making,Yellowpatch Entertainment,"₹ 6,000-12,000 /month",3 Months,Pune                                                            (Hybrid)
1756,Teaching,TheWorkshop,"₹ 10,000 /month",3 Months,Chandigarh
1757,Digital Marketing & Operations,Eco-one,"₹ 5,000-7,000 /month",6 Months,Mumbai                                                            (Hybrid)
1758,Coaching Institute Management,Saraswati Vidyamandir,"₹ 2,000-4,000 /month",6 Months,"Ambala, Ambala Cantt, Ambala Sadar"
1759,Social Media Marketing,Back To Roots,"₹ 5,000-8,000 /month",2 Months,Kochi
1760,Media & Public Relations (PR),Jarurat Care,Unpaid,4 Months,Noida
1761,Video Editing/Making,AIR HR Solutions,"₹ 3,000 /month",6 Months,"Coimbatore, Erode, Tiruppur, Salem"
1762,Human Resources (HR),Visible Gain,"₹ 6,000-10,000 /month",6 Months,Bangalore
1763,Artificial Intelligence Trainer,Playto Labs,"₹ 3,000-10,000 /month",1 Month,Bangalore
1764,Female Personal Assistant,Big Bulls,"₹ 8,000 /month",6 Months,Bangalore
1765,Tele Sales & Tele Marketing,Big Bulls,"₹ 8,000 /month",6 Months,Noida
1766,Human Resources (HR),Big Bulls,"₹ 8,000 /month",6 Months,Lucknow                                                            (Hybrid)
1767,Sales,Madrocket Technologies & Media,"₹ 10,000-14,000 /month",3 Months,Hyderabad                                                            (Hybrid)
1768,Product Marketing,WaySpire EdTech Private Limited,"₹ 2,000-10,000 lump sum",1 Month,Pune
1769,Online Marketing,WaySpire EdTech Private Limited,"₹ 2,500-15,000 lump sum",1 Month,Kolkata
1770,Finance,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,"North Goa, Goa Velha, Goa"
1771,Capital Market,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Delhi
1772,Trader,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Mumbai
1773,Business Development (Sales),Tripple One Solutions,"₹ 15,000-25,000 /month",3 Months,Indore
1774,Social Media Marketing,Gamoft Consultancy Services Private Limited,"₹ 10,000 /month",6 Months,Delhi                                                            (Hybrid)
1775,Digital Marketing,CYPWNG Software Technologies,"₹ 10,000 /month",6 Months,Mumbai
1776,Volunteering,She Can Foundation,20% of Total Funds Raised,4 Weeks,Mumbai
1777,Field Volunteering,InAmigos Foundation,"₹ 200-2,500 /week",6 Months,Gurgaon
1778,Community Influencing,She Can Foundation,20% of Total Funds Raised,1 Month,Pune
1779,Data Analytics - Flutter App,S Attri (Atri Consulting),"₹ 10,000 /month",6 Months,Kolkata
1780,Business Development (Sales),Talent Corner HR Services,"₹ 5,000 /month",3 Months,Mumbai
1781,Social Media Marketing,Storybizz Media Private Limited,"₹ 6,000-15,000 /month",6 Months,Mohali
1782,Corporate Sales,PROVEN PATH CONSULTANCY,"₹ 4,000 /month",3 Months,Gurgaon
1783,Photography,LIVWISE.IN,"₹ 5,000-10,000 /month",5 Months,Mumbai
1784,Mechanical Engineering,Edith Defence Systems Private Limited,"₹ 10,000-12,000 /month",6 Months,Gurgaon
1785,Field Executive – Sales Department (Banking Domain),Techdome Solutions Private Limited,"₹ 10,000-15,000 /month",3 Months,Pune
1786,Script Writing,Unimonks,"₹ 3,500-7,000 /month",3 Months,Pune
1787,Marketing,Efficienergi,"₹ 10,000 /month",5 Months,Kolkata
1788,Videography,Rentkar-Switch To Share,"₹ 10,000-12,000 /month",6 Months,
1789,Apparel Design,The Gusto,"₹ 20,000 /month",3 Months,
1790,Business Development (Sales),TopMentor,"₹ 10,000 /month",6 Months,
1791,Sales,C3 CAR CARE CENTER,"₹ 15,000 /month",6 Months,
1792,Trainee - Marketing (Live Events),BookMyShow,"₹ 11,250 /month",6 Months,
1793,Creative Illustrator,Alphanumeric Ideas Private Limited,"₹ 3,000 /month",6 Months,
1794,Copywriting,MoLog Media & Advertising,"₹ 10,000 /month",3 Months,
1795,Graphic Design,Suruchi Sable,"₹ 10,000-20,000 /month",6 Months,
1796,Inside Sales,PROVEN PATH CONSULTANCY,"₹ 5,000 /month",4 Months,
1797,Search Engine Optimization (SEO),Pune Medical Coding Training Institute,"₹ 7,000 /month",3 Months,
1798,Graphic Design,Pune Medical Coding Training Institute,"₹ 7,000 /month",3 Months,
1799,Content Creation & Digital Marketing,Bonn Tonn,"₹ 8,000-12,000 /month",3 Months,
1800,Sales (Female),BizInnovision Private Limited,"₹ 5,000 /month +  Incentives",2 Months,Delhi                                                            (Hybrid)
1801,Business Development (Field Sales),Classess.com,"₹ 8,000 /month",4 Months,Hyderabad                                                            (Hybrid)
1802,Business Development (Sales),Offbeat,"₹ 8,000 /month +  Incentives",3 Months,Mumbai                                                            (Hybrid)
1803,Campus Ambassador,Patson's Career Abroad Consultancy,Performance Based,3 Months,"Pune, Mumbai"
1804,Business Development (Sales),Designer Mulberry Spaces Private Limited,"₹ 10,000 /month",3 Months,Mira Bhayandar
1805,Video Editing/Making,Yellowpatch Entertainment,"₹ 6,000-12,000 /month",3 Months,Pune                                                            (Hybrid)
1806,Teaching,TheWorkshop,"₹ 10,000 /month",3 Months,Chandigarh
1807,Digital Marketing & Operations,Eco-one,"₹ 5,000-7,000 /month",6 Months,Mumbai                                                            (Hybrid)
1808,Coaching Institute Management,Saraswati Vidyamandir,"₹ 2,000-4,000 /month",6 Months,"Ambala, Ambala Cantt, Ambala Sadar"
